Station_ID,Station_Name,District_ID,District,Zone,Station_Type,Latitude,Longitude,Personnel_Strength,Patrol_Vehicles,Contact_Number,Email
PS0031,Ballari Central Police Station,2,Ballari,Central,Police Station,14.98415,77.09942,73,20,0801604451,ps31@ksp.gov.in
PS0032,Ballari East Rural Police Station,2,Ballari,East,Rural Police Station,15.16041,76.893315,45,12,0807117837,ps32@ksp.gov.in
PS0033,Ballari North Women Police Station,2,Ballari,North,Women Police Station,15.023431,76.821212,61,14,0807817881,ps33@ksp.gov.in
PS0034,Ballari Central Town Police Station,2,Ballari,Central,Town Police Station,15.001221,77.093352,76,8,0807917152,ps34@ksp.gov.in
PS0035,Ballari North Traffic Police Station,2,Ballari,North,Traffic Police Station,15.234026,76.854274,140,24,0805163555,ps35@ksp.gov.in
PS0036,Ballari East Traffic Police Station,2,Ballari,East,Traffic Police Station,15.25435,76.764638,44,18,0804731818,ps36@ksp.gov.in
PS0037,Ballari South Cyber Crime Police Station,2,Ballari,South,Cyber Crime Police Station,15.079263,77.049615,93,10,0801397023,ps37@ksp.gov.in
PS0038,Ballari South Cyber Crime Police Station,2,Ballari,South,Cyber Crime Police Station,15.070705,77.067141,106,14,0809546409,ps38@ksp.gov.in
PS0039,Ballari West Town Police Station,2,Ballari,West,Town Police Station,15.33186,76.935886,42,6,0805382463,ps39@ksp.gov.in
PS0040,Ballari South Rural Police Station,2,Ballari,South,Rural Police Station,15.324414,76.827587,62,22,0808290770,ps40@ksp.gov.in
PS0041,Ballari East Town Police Station,2,Ballari,East,Town Police Station,15.253971,76.895958,165,6,0807462506,ps41@ksp.gov.in
PS0042,Ballari Central Traffic Police Station,2,Ballari,Central,Traffic Police Station,15.041289,77.004914,35,19,0804305700,ps42@ksp.gov.in
PS0043,Ballari East Cyber Crime Police Station,2,Ballari,East,Cyber Crime Police Station,14.96739,76.987095,119,22,0806266630,ps43@ksp.gov.in
PS0044,Ballari North Town Police Station,2,Ballari,North,Town Police Station,15.299419,76.924249,139,13,0807751158,ps44@ksp.gov.in
PS0045,Ballari East Rural Police Station,2,Ballari,East,Rural Police Station,14.990315,76.889579,132,24,0803919694,ps45@ksp.gov.in
PS0046,Belagavi Central Rural Police Station,3,Belagavi,Central,Rural Police Station,15.77008,74.516875,35,12,0805813613,ps46@ksp.gov.in
PS0047,Belagavi South Cyber Crime Police Station,3,Belagavi,South,Cyber Crime Police Station,15.964004,74.540365,117,17,0808411939,ps47@ksp.gov.in
PS0048,Belagavi West Town Police Station,3,Belagavi,West,Town Police Station,15.735181,74.486974,78,24,0802422633,ps48@ksp.gov.in
PS0049,Belagavi East Rural Police Station,3,Belagavi,East,Rural Police Station,15.915242,74.545404,58,10,0806207974,ps49@ksp.gov.in
PS0050,Belagavi South Traffic Police Station,3,Belagavi,South,Traffic Police Station,15.708642,74.316185,156,22,0802221854,ps50@ksp.gov.in
PS0051,Belagavi West Cyber Crime Police Station,3,Belagavi,West,Cyber Crime Police Station,16.004155,74.527968,133,18,0807705062,ps51@ksp.gov.in
PS0052,Belagavi South Traffic Police Station,3,Belagavi,South,Traffic Police Station,15.912123,74.299918,62,16,0804671545,ps52@ksp.gov.in
PS0053,Belagavi South Town Police Station,3,Belagavi,South,Town Police Station,15.856883,74.317787,98,6,0808658158,ps53@ksp.gov.in
PS0054,Belagavi South Cyber Crime Police Station,3,Belagavi,South,Cyber Crime Police Station,15.916731,74.692857,116,17,0809468772,ps54@ksp.gov.in
PS0055,Belagavi West Rural Police Station,3,Belagavi,West,Rural Police Station,15.828065,74.361363,156,17,0805348512,ps55@ksp.gov.in
PS0056,Belagavi South Town Police Station,3,Belagavi,South,Town Police Station,15.760625,74.60877,159,23,0805013879,ps56@ksp.gov.in
PS0057,Belagavi East Cyber Crime Police Station,3,Belagavi,East,Cyber Crime Police Station,15.680693,74.411991,104,13,0806363836,ps57@ksp.gov.in
PS0058,Belagavi Central Police Station,3,Belagavi,Central,Police Station,15.70505,74.390205,74,25,0804589533,ps58@ksp.gov.in
PS0059,Belagavi North Cyber Crime Police Station,3,Belagavi,North,Cyber Crime Police Station,15.81274,74.514744,141,4,0804470105,ps59@ksp.gov.in
PS0060,Belagavi West Cyber Crime Police Station,3,Belagavi,West,Cyber Crime Police Station,16.011635,74.531332,40,21,0807381734,ps60@ksp.gov.in
PS0061,Belagavi West Police Station,3,Belagavi,West,Police Station,16.026797,74.417145,134,16,0804700025,ps61@ksp.gov.in
PS0062,Belagavi West Traffic Police Station,3,Belagavi,West,Traffic Police Station,15.758874,74.491957,134,13,0807783308,ps62@ksp.gov.in
PS0063,Belagavi South Cyber Crime Police Station,3,Belagavi,South,Cyber Crime Police Station,16.017517,74.689989,171,3,0807610562,ps63@ksp.gov.in
PS0064,Belagavi Central Rural Police Station,3,Belagavi,Central,Rural Police Station,15.9149,74.331279,144,7,0808746014,ps64@ksp.gov.in
PS0065,Belagavi South Police Station,3,Belagavi,South,Police Station,15.753763,74.428641,151,13,0806662319,ps65@ksp.gov.in
PS0066,Belagavi West Women Police Station,3,Belagavi,West,Women Police Station,15.950504,74.63047,99,5,0808890439,ps66@ksp.gov.in
PS0067,Belagavi North Town Police Station,3,Belagavi,North,Town Police Station,15.865468,74.697663,124,10,0802151225,ps67@ksp.gov.in
PS0068,Belagavi North Police Station,3,Belagavi,North,Police Station,16.029545,74.377444,40,22,0803556551,ps68@ksp.gov.in
PS0069,Belagavi South Traffic Police Station,3,Belagavi,South,Traffic Police Station,15.839124,74.343456,90,17,0805299055,ps69@ksp.gov.in
PS0070,Bengaluru Rural East Traffic Police Station,4,Bengaluru Rural,East,Traffic Police Station,13.268057,77.760494,64,8,0806218367,ps70@ksp.gov.in
PS0071,Bengaluru Rural North Rural Police Station,4,Bengaluru Rural,North,Rural Police Station,13.035971,77.499783,131,15,0804327421,ps71@ksp.gov.in
PS0072,Bengaluru Rural North Rural Police Station,4,Bengaluru Rural,North,Rural Police Station,13.301946,77.625897,61,25,0806059717,ps72@ksp.gov.in
PS0073,Bengaluru Rural Central Police Station,4,Bengaluru Rural,Central,Police Station,13.344191,77.601373,45,14,0809937982,ps73@ksp.gov.in
PS0074,Bengaluru Rural West Town Police Station,4,Bengaluru Rural,West,Town Police Station,13.173928,77.577384,122,3,0808047416,ps74@ksp.gov.in
PS0075,Bengaluru Rural West Police Station,4,Bengaluru Rural,West,Police Station,13.199109,77.519875,152,25,0803566765,ps75@ksp.gov.in
PS0076,Bengaluru Rural West Traffic Police Station,4,Bengaluru Rural,West,Traffic Police Station,13.319218,77.761189,104,22,0809111742,ps76@ksp.gov.in
PS0077,Bengaluru Rural West Cyber Crime Police Station,4,Bengaluru Rural,West,Cyber Crime Police Station,13.355994,77.61199,117,10,0802453962,ps77@ksp.gov.in
PS0078,Bengaluru Rural East Cyber Crime Police Station,4,Bengaluru Rural,East,Cyber Crime Police Station,13.123245,77.560883,132,13,0801481506,ps78@ksp.gov.in
PS0079,Bengaluru Rural West Women Police Station,4,Bengaluru Rural,West,Women Police Station,13.098436,77.459848,101,13,0805691890,ps79@ksp.gov.in
PS0080,Bengaluru Rural Central Town Police Station,4,Bengaluru Rural,Central,Town Police Station,13.377743,77.597316,167,9,0802436347,ps80@ksp.gov.in
PS0081,Bengaluru Rural South Town Police Station,4,Bengaluru Rural,South,Town Police Station,13.188271,77.59707,96,25,0808987516,ps81@ksp.gov.in
PS0082,Bengaluru Rural West Cyber Crime Police Station,4,Bengaluru Rural,West,Cyber Crime Police Station,13.342873,77.412221,91,15,0805081983,ps82@ksp.gov.in
PS0083,Bengaluru Rural East Town Police Station,4,Bengaluru Rural,East,Town Police Station,13.258322,77.564304,170,14,0808138769,ps83@ksp.gov.in
PS0084,Bengaluru Rural Central Women Police Station,4,Bengaluru Rural,Central,Women Police Station,13.166424,77.556498,113,11,0804867786,ps84@ksp.gov.in
PS0085,Bengaluru Rural North Town Police Station,4,Bengaluru Rural,North,Town Police Station,13.102734,77.422822,172,25,0804106298,ps85@ksp.gov.in
PS0086,Bengaluru Rural South Traffic Police Station,4,Bengaluru Rural,South,Traffic Police Station,13.321142,77.4856,169,22,0805747930,ps86@ksp.gov.in
PS0087,Bengaluru Rural North Traffic Police Station,4,Bengaluru Rural,North,Traffic Police Station,13.144199,77.519352,112,3,0809961299,ps87@ksp.gov.in
PS0088,Bengaluru Rural South Women Police Station,4,Bengaluru Rural,South,Women Police Station,13.043906,77.39681,109,25,0803118618,ps88@ksp.gov.in
PS0089,Bengaluru Rural West Police Station,4,Bengaluru Rural,West,Police Station,13.374788,77.604626,155,18,0808389840,ps89@ksp.gov.in
PS0090,Bengaluru Rural East Traffic Police Station,4,Bengaluru Rural,East,Traffic Police Station,13.411899,77.475991,157,6,0802096280,ps90@ksp.gov.in
PS0091,Bengaluru Rural West Cyber Crime Police Station,4,Bengaluru Rural,West,Cyber Crime Police Station,13.055333,77.626778,48,7,0803503120,ps91@ksp.gov.in
PS0092,Bengaluru Rural Central Women Police Station,4,Bengaluru Rural,Central,Women Police Station,13.059772,77.474276,177,16,0804786401,ps92@ksp.gov.in
PS0093,Bengaluru Rural Central Cyber Crime Police Station,4,Bengaluru Rural,Central,Cyber Crime Police Station,13.205906,77.552088,144,12,0802010496,ps93@ksp.gov.in
PS0094,Bengaluru Rural Central Town Police Station,4,Bengaluru Rural,Central,Town Police Station,13.065393,77.680095,89,11,0802362099,ps94@ksp.gov.in
PS0095,Bengaluru Rural South Traffic Police Station,4,Bengaluru Rural,South,Traffic Police Station,13.095225,77.405026,35,16,0808558197,ps95@ksp.gov.in
PS0096,Bengaluru Rural Central Cyber Crime Police Station,4,Bengaluru Rural,Central,Cyber Crime Police Station,13.142204,77.46759,107,25,0808617381,ps96@ksp.gov.in
PS0097,Bengaluru Rural North Town Police Station,4,Bengaluru Rural,North,Town Police Station,13.11907,77.480822,85,16,0802925626,ps97@ksp.gov.in
PS0098,Bengaluru Rural Central Traffic Police Station,4,Bengaluru Rural,Central,Traffic Police Station,13.284754,77.738365,71,5,0802000560,ps98@ksp.gov.in
PS0099,Bengaluru Rural South Women Police Station,4,Bengaluru Rural,South,Women Police Station,13.263718,77.704696,108,17,0803086308,ps99@ksp.gov.in
PS0100,Bengaluru Rural West Town Police Station,4,Bengaluru Rural,West,Town Police Station,13.147336,77.536003,104,19,0809284509,ps100@ksp.gov.in
PS0101,Bengaluru Rural West Police Station,4,Bengaluru Rural,West,Police Station,13.264915,77.730769,117,22,0805200476,ps101@ksp.gov.in
PS0102,Bengaluru Rural North Police Station,4,Bengaluru Rural,North,Police Station,13.11727,77.644719,40,24,0805521644,ps102@ksp.gov.in
PS0103,Bengaluru Rural Central Police Station,4,Bengaluru Rural,Central,Police Station,13.330944,77.445076,167,23,0808419378,ps103@ksp.gov.in
PS0104,Bengaluru Rural East Traffic Police Station,4,Bengaluru Rural,East,Traffic Police Station,13.424478,77.549354,160,5,0808885465,ps104@ksp.gov.in
PS0105,Bengaluru Rural East Cyber Crime Police Station,4,Bengaluru Rural,East,Cyber Crime Police Station,13.159023,77.643053,76,13,0807906258,ps105@ksp.gov.in
PS0106,Bengaluru Rural West Women Police Station,4,Bengaluru Rural,West,Women Police Station,13.290733,77.535181,175,4,0808630712,ps106@ksp.gov.in
PS0107,Bengaluru Rural North Women Police Station,4,Bengaluru Rural,North,Women Police Station,13.12666,77.421369,138,19,0801019311,ps107@ksp.gov.in
PS0108,Bengaluru Rural Central Cyber Crime Police Station,4,Bengaluru Rural,Central,Cyber Crime Police Station,13.190999,77.450033,127,22,0809363326,ps108@ksp.gov.in
PS0109,Bengaluru Rural West Police Station,4,Bengaluru Rural,West,Police Station,13.107123,77.594688,108,17,0809132114,ps109@ksp.gov.in
PS0110,Bengaluru Urban North Police Station,5,Bengaluru Urban,North,Police Station,13.160859,77.638149,96,25,0803657144,ps110@ksp.gov.in
PS0111,Bengaluru Urban East Rural Police Station,5,Bengaluru Urban,East,Rural Police Station,12.77707,77.557796,92,6,0808741810,ps111@ksp.gov.in
PS0112,Bengaluru Urban North Town Police Station,5,Bengaluru Urban,North,Town Police Station,13.104457,77.59395,109,19,0805587308,ps112@ksp.gov.in
PS0113,Bengaluru Urban West Cyber Crime Police Station,5,Bengaluru Urban,West,Cyber Crime Police Station,13.163698,77.492092,176,7,0807435505,ps113@ksp.gov.in
PS0114,Bengaluru Urban South Rural Police Station,5,Bengaluru Urban,South,Rural Police Station,12.974896,77.746331,52,11,0807961578,ps114@ksp.gov.in
PS0115,Bengaluru Urban East Rural Police Station,5,Bengaluru Urban,East,Rural Police Station,12.878469,77.395626,111,21,0809214801,ps115@ksp.gov.in
PS0116,Bengaluru Urban South Cyber Crime Police Station,5,Bengaluru Urban,South,Cyber Crime Police Station,12.987032,77.53265,176,20,0807328534,ps116@ksp.gov.in
PS0117,Bengaluru Urban West Women Police Station,5,Bengaluru Urban,West,Women Police Station,13.119441,77.78691,96,21,0807425184,ps117@ksp.gov.in
PS0118,Bengaluru Urban South Cyber Crime Police Station,5,Bengaluru Urban,South,Cyber Crime Police Station,12.789059,77.692482,132,15,0803551903,ps118@ksp.gov.in
PS0119,Bengaluru Urban West Police Station,5,Bengaluru Urban,West,Police Station,12.822099,77.780741,119,6,0808387112,ps119@ksp.gov.in
PS0120,Bengaluru Urban North Rural Police Station,5,Bengaluru Urban,North,Rural Police Station,13.135777,77.400739,71,16,0803589751,ps120@ksp.gov.in
PS0121,Bengaluru Urban North Cyber Crime Police Station,5,Bengaluru Urban,North,Cyber Crime Police Station,13.08421,77.500609,136,23,0802347467,ps121@ksp.gov.in
PS0122,Bengaluru Urban East Town Police Station,5,Bengaluru Urban,East,Town Police Station,13.115337,77.546604,116,23,0809186400,ps122@ksp.gov.in
PS0123,Bengaluru Urban Central Police Station,5,Bengaluru Urban,Central,Police Station,13.018584,77.488508,108,10,0802516313,ps123@ksp.gov.in
PS0124,Bengaluru Urban West Police Station,5,Bengaluru Urban,West,Police Station,13.075748,77.676156,60,17,0803791137,ps124@ksp.gov.in
PS0125,Bengaluru Urban East Police Station,5,Bengaluru Urban,East,Police Station,12.789996,77.713057,110,14,0807288789,ps125@ksp.gov.in
PS0126,Bengaluru Urban West Traffic Police Station,5,Bengaluru Urban,West,Traffic Police Station,12.869279,77.559421,81,8,0803937176,ps126@ksp.gov.in
PS0127,Bengaluru Urban North Rural Police Station,5,Bengaluru Urban,North,Rural Police Station,13.119936,77.642484,96,18,0803401116,ps127@ksp.gov.in
PS0128,Bengaluru Urban South Cyber Crime Police Station,5,Bengaluru Urban,South,Cyber Crime Police Station,13.026762,77.578428,37,17,0805825658,ps128@ksp.gov.in
PS0129,Bengaluru Urban Central Traffic Police Station,5,Bengaluru Urban,Central,Traffic Police Station,12.801145,77.772694,111,23,0808118722,ps129@ksp.gov.in
PS0130,Bengaluru Urban East Cyber Crime Police Station,5,Bengaluru Urban,East,Cyber Crime Police Station,13.109722,77.474287,133,18,0802789344,ps130@ksp.gov.in
PS0131,Bengaluru Urban South Cyber Crime Police Station,5,Bengaluru Urban,South,Cyber Crime Police Station,13.000369,77.624525,110,3,0807640518,ps131@ksp.gov.in
PS0132,Bengaluru Urban East Police Station,5,Bengaluru Urban,East,Police Station,12.997972,77.66892,47,22,0809333700,ps132@ksp.gov.in
PS0133,Bengaluru Urban East Traffic Police Station,5,Bengaluru Urban,East,Traffic Police Station,13.014426,77.535528,83,22,0805204819,ps133@ksp.gov.in
PS0134,Bengaluru Urban South Town Police Station,5,Bengaluru Urban,South,Town Police Station,12.810466,77.645583,45,12,0808395785,ps134@ksp.gov.in
PS0135,Bengaluru Urban North Rural Police Station,5,Bengaluru Urban,North,Rural Police Station,12.917544,77.447165,110,13,0807970985,ps135@ksp.gov.in
PS0136,Bengaluru Urban South Traffic Police Station,5,Bengaluru Urban,South,Traffic Police Station,12.824464,77.610363,128,19,0809418719,ps136@ksp.gov.in
PS0137,Bengaluru Urban East Traffic Police Station,5,Bengaluru Urban,East,Traffic Police Station,12.874388,77.724476,158,12,0806682698,ps137@ksp.gov.in
PS0138,Bengaluru Urban North Cyber Crime Police Station,5,Bengaluru Urban,North,Cyber Crime Police Station,13.156757,77.450903,92,24,0807667458,ps138@ksp.gov.in
PS0139,Bengaluru Urban Central Women Police Station,5,Bengaluru Urban,Central,Women Police Station,12.807721,77.55243,102,20,0803073474,ps139@ksp.gov.in
PS0140,Bengaluru Urban West Women Police Station,5,Bengaluru Urban,West,Women Police Station,13.040731,77.663536,132,23,0807232293,ps140@ksp.gov.in
PS0141,Bengaluru Urban North Town Police Station,5,Bengaluru Urban,North,Town Police Station,12.865129,77.40461,178,13,0804713925,ps141@ksp.gov.in
PS0142,Bengaluru Urban North Town Police Station,5,Bengaluru Urban,North,Town Police Station,13.101142,77.758355,112,23,0807850067,ps142@ksp.gov.in
PS0143,Bengaluru Urban North Traffic Police Station,5,Bengaluru Urban,North,Traffic Police Station,12.789739,77.409485,161,6,0802630611,ps143@ksp.gov.in
PS0144,Bengaluru Urban South Rural Police Station,5,Bengaluru Urban,South,Rural Police Station,12.825866,77.576058,173,16,0803592464,ps144@ksp.gov.in
PS0145,Bengaluru Urban West Town Police Station,5,Bengaluru Urban,West,Town Police Station,12.811209,77.590339,139,11,0801548888,ps145@ksp.gov.in
PS0146,Bengaluru Urban East Traffic Police Station,5,Bengaluru Urban,East,Traffic Police Station,12.948953,77.774822,127,6,0807162857,ps146@ksp.gov.in
PS0147,Bengaluru Urban Central Town Police Station,5,Bengaluru Urban,Central,Town Police Station,12.91507,77.553856,83,6,0808628891,ps147@ksp.gov.in
PS0148,Bengaluru Urban North Town Police Station,5,Bengaluru Urban,North,Town Police Station,12.856442,77.650397,40,4,0806595355,ps148@ksp.gov.in
PS0149,Bengaluru Urban South Traffic Police Station,5,Bengaluru Urban,South,Traffic Police Station,13.086391,77.476682,176,9,0804623062,ps149@ksp.gov.in
PS0150,Bengaluru Urban South Women Police Station,5,Bengaluru Urban,South,Women Police Station,13.081347,77.710058,35,11,0803427461,ps150@ksp.gov.in
PS0151,Bengaluru Urban South Rural Police Station,5,Bengaluru Urban,South,Rural Police Station,12.871862,77.464399,41,7,0801249314,ps151@ksp.gov.in
PS0152,Bengaluru Urban East Traffic Police Station,5,Bengaluru Urban,East,Traffic Police Station,13.007141,77.400912,102,4,0803126655,ps152@ksp.gov.in
PS0153,Bidar West Rural Police Station,6,Bidar,West,Rural Police Station,17.75586,77.345323,149,14,0809610704,ps153@ksp.gov.in
PS0154,Bidar Central Police Station,6,Bidar,Central,Police Station,17.891202,77.40852,46,24,0809748499,ps154@ksp.gov.in
PS0155,Bidar East Cyber Crime Police Station,6,Bidar,East,Cyber Crime Police Station,17.967736,77.33236,157,15,0808151684,ps155@ksp.gov.in
PS0156,Bidar North Cyber Crime Police Station,6,Bidar,North,Cyber Crime Police Station,17.995361,77.497325,55,13,0803488628,ps156@ksp.gov.in
PS0157,Bidar North Traffic Police Station,6,Bidar,North,Traffic Police Station,17.820406,77.573131,175,25,0806455706,ps157@ksp.gov.in
PS0158,Bidar West Rural Police Station,6,Bidar,West,Rural Police Station,17.922623,77.501386,145,6,0802919549,ps158@ksp.gov.in
PS0159,Bidar Central Town Police Station,6,Bidar,Central,Town Police Station,18.056597,77.491928,93,16,0806686328,ps159@ksp.gov.in
PS0160,Bidar West Cyber Crime Police Station,6,Bidar,West,Cyber Crime Police Station,17.876796,77.357934,144,13,0805276341,ps160@ksp.gov.in
PS0161,Bidar East Traffic Police Station,6,Bidar,East,Traffic Police Station,17.985128,77.509607,58,5,0802564141,ps161@ksp.gov.in
PS0162,Bidar West Police Station,6,Bidar,West,Police Station,18.008236,77.468959,68,20,0802006313,ps162@ksp.gov.in
PS0163,Bidar Central Rural Police Station,6,Bidar,Central,Rural Police Station,17.935073,77.587905,140,14,0808095702,ps163@ksp.gov.in
PS0164,Bidar North Women Police Station,6,Bidar,North,Women Police Station,17.950564,77.460558,164,9,0803595941,ps164@ksp.gov.in
PS0165,Bidar West Traffic Police Station,6,Bidar,West,Traffic Police Station,18.04931,77.459946,177,14,0802927455,ps165@ksp.gov.in
PS0166,Bidar East Rural Police Station,6,Bidar,East,Rural Police Station,17.800864,77.491545,178,22,0801440466,ps166@ksp.gov.in
PS0167,Bidar Central Town Police Station,6,Bidar,Central,Town Police Station,18.042184,77.426879,81,11,0806183902,ps167@ksp.gov.in
PS0168,Bidar East Women Police Station,6,Bidar,East,Women Police Station,17.712842,77.667845,179,24,0807724045,ps168@ksp.gov.in
PS0169,Bidar North Traffic Police Station,6,Bidar,North,Traffic Police Station,18.006788,77.708624,58,19,0804609330,ps169@ksp.gov.in
PS0170,Bidar West Cyber Crime Police Station,6,Bidar,West,Cyber Crime Police Station,17.891858,77.382864,114,13,0802425342,ps170@ksp.gov.in
PS0171,Bidar North Traffic Police Station,6,Bidar,North,Traffic Police Station,17.773364,77.567035,55,11,0808434202,ps171@ksp.gov.in
PS0172,Bidar West Cyber Crime Police Station,6,Bidar,West,Cyber Crime Police Station,17.95323,77.485573,90,19,0802909540,ps172@ksp.gov.in
PS0173,Bidar East Cyber Crime Police Station,6,Bidar,East,Cyber Crime Police Station,17.754756,77.591187,159,19,0806174418,ps173@ksp.gov.in
PS0174,Bidar North Traffic Police Station,6,Bidar,North,Traffic Police Station,17.868505,77.55963,36,9,0806056977,ps174@ksp.gov.in
PS0175,Bidar South Traffic Police Station,6,Bidar,South,Traffic Police Station,18.016064,77.435679,65,3,0809344741,ps175@ksp.gov.in
PS0176,Bidar West Traffic Police Station,6,Bidar,West,Traffic Police Station,17.762074,77.532933,93,19,0806941939,ps176@ksp.gov.in
PS0177,Bidar North Cyber Crime Police Station,6,Bidar,North,Cyber Crime Police Station,18.055106,77.336821,39,17,0802306317,ps177@ksp.gov.in
PS0178,Bidar East Rural Police Station,6,Bidar,East,Rural Police Station,17.882114,77.481669,141,12,0802932288,ps178@ksp.gov.in
PS0179,Bidar West Police Station,6,Bidar,West,Police Station,18.09688,77.388649,152,25,0807070880,ps179@ksp.gov.in
PS0180,Bidar North Cyber Crime Police Station,6,Bidar,North,Cyber Crime Police Station,18.048194,77.417227,137,19,0802319479,ps180@ksp.gov.in
PS0181,Bidar West Women Police Station,6,Bidar,West,Women Police Station,18.008722,77.408529,78,5,0809564488,ps181@ksp.gov.in
PS0182,Bidar North Rural Police Station,6,Bidar,North,Rural Police Station,17.914381,77.682269,124,14,0803477824,ps182@ksp.gov.in
PS0183,Bidar South Police Station,6,Bidar,South,Police Station,17.768978,77.398809,74,23,0802264218,ps183@ksp.gov.in
PS0184,Bidar South Town Police Station,6,Bidar,South,Town Police Station,17.908047,77.621678,149,24,0806422534,ps184@ksp.gov.in
PS0185,Bidar East Traffic Police Station,6,Bidar,East,Traffic Police Station,17.886305,77.507468,112,11,0801942411,ps185@ksp.gov.in
PS0186,Bidar East Rural Police Station,6,Bidar,East,Rural Police Station,17.740076,77.504597,44,4,0807186390,ps186@ksp.gov.in
PS0187,Bidar East Police Station,6,Bidar,East,Police Station,17.968267,77.710847,58,22,0809507186,ps187@ksp.gov.in
PS0188,Bidar West Cyber Crime Police Station,6,Bidar,West,Cyber Crime Police Station,17.942532,77.701593,45,17,0804158134,ps188@ksp.gov.in
PS0189,Bidar East Rural Police Station,6,Bidar,East,Rural Police Station,17.900652,77.380244,50,17,0802736473,ps189@ksp.gov.in
