FIR_ID,FIR_Number,Station_ID,District,Incident_Date,FIR_Date,Crime_Head,Crime_Subhead,BNS_Sections,Latitude,Longitude,Complainant_ID,Victim_ID,Accused_ID,Investigating_Officer,Status
FIR202500037,FIR/0037/2025,PS0141,Bengaluru Urban,2025-01-05 17:04,2025-01-06 01:04,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",12.875231,77.407359,P005365,P007160,P008017,PI Suresh Kulkarni,Chargesheeted
FIR202500043,FIR/0043/2025,PS0058,Belagavi,2025-01-06 07:10,2025-01-06 11:10,Theft,House Theft,BNS 303(2),15.702584,74.379475,P006673,P008827,P007613,SI Divya Hegde,Under Investigation
FIR202500031,FIR/0031/2025,PS0054,Belagavi,2025-01-05 10:26,2025-01-06 14:26,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",15.92769,74.695251,P003261,P002366,P002717,SI Ganesh Rao,Under Investigation
FIR202500030,FIR/0030/2025,PS0085,Bengaluru Rural,2025-01-05 10:22,2025-01-06 17:22,Assault,Grievous Hurt,"BNS 115(2), BNS 117(2)",13.120464,77.416567,P001726,P007614,P004533,SI Prakash Sharma,Chargesheeted
FIR202500044,FIR/0044/2025,PS0042,Ballari,2025-01-06 11:05,2025-01-06 18:05,Fraud,Land Scam,BNS 318(4),15.056717,77.010675,P009784,P005084,P008356,PI Harish Naik,Under Investigation
FIR202500045,FIR/0045/2025,PS0111,Bengaluru Urban,2025-01-06 14:22,2025-01-06 22:22,NDPS,Possession of Narcotics,NDPS Act Sec 20(b),12.775146,77.572635,P002819,P000692,P006436,SI Prakash Sharma,Chargesheeted
FIR202500006,FIR/0006/2025,PS0194,Chamarajanagar,2025-01-01 13:52,2025-01-06 22:52,Cyber Crime,Identity Theft,"IT Act 66D, BNS 318(4)",11.800376,76.882661,P008723,P001560,P005648,PI Harish Naik,Under Investigation
FIR202500041,FIR/0041/2025,PS0248,Chikkaballapura,2025-01-06 00:53,2025-01-07 01:53,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",13.267903,77.795754,P000522,P001924,P004392,SI Ganesh Rao,Chargesheeted
FIR202500038,FIR/0038/2025,PS0236,Chikkaballapura,2025-01-05 17:50,2025-01-07 02:50,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",13.618495,77.908482,P007353,P004450,P009721,SI Ganesh Rao,Closed
FIR202500028,FIR/0028/2025,PS0119,Bengaluru Urban,2025-01-04 16:20,2025-01-07 03:20,Fraud,Cheating,BNS 318(4),12.830874,77.789925,P002850,P006958,P000042,PI Chetan Kumar,Under Investigation
FIR202500040,FIR/0040/2025,PS0131,Bengaluru Urban,2025-01-05 21:01,2025-01-07 07:01,Vehicle Theft,Car Theft,BNS 303(2),13.008589,77.609736,P000566,P001262,P004235,PI Ramesh Gowda,Chargesheeted
FIR202500042,FIR/0042/2025,PS0018,Bagalkote,2025-01-06 06:09,2025-01-07 10:09,Fraud,Cheating,BNS 318(4),16.189676,75.778656,P002743,P008355,P007457,PI Naveen Patil,Under Investigation
FIR202500011,FIR/0011/2025,PS0141,Bengaluru Urban,2025-01-02 03:00,2025-01-07 11:00,Vehicle Theft,Car Theft,BNS 303(2),12.876568,77.406465,P008098,P007839,P000686,SI Prakash Sharma,Chargesheeted
FIR202500046,FIR/0046/2025,PS0235,Chikkaballapura,2025-01-06 23:47,2025-01-07 11:47,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.304275,77.538499,P000530,P007834,P004287,SI Divya Hegde,Chargesheeted
FIR202500049,FIR/0049/2025,PS0103,Bengaluru Rural,2025-01-07 05:14,2025-01-07 14:14,Vehicle Theft,Car Theft,BNS 303(2),13.346738,77.426033,P001733,P005626,P003241,SI Prakash Sharma,Under Investigation
FIR202500052,FIR/0052/2025,PS0150,Bengaluru Urban,2025-01-07 10:59,2025-01-07 14:59,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",13.099895,77.726755,P004908,P007090,P003724,PI Suresh Kulkarni,Chargesheeted
FIR202500048,FIR/0048/2025,PS0140,Bengaluru Urban,2025-01-07 05:05,2025-01-07 15:05,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.052827,77.654249,P008200,P003112,P009829,SI Mahesh Bhat,Chargesheeted
FIR202500050,FIR/0050/2025,PS0141,Bengaluru Urban,2025-01-07 07:36,2025-01-07 17:36,Murder,Personal Enmity,BNS 103(1),12.870643,77.40594,P009087,P001661,P009764,SI Divya Hegde,Chargesheeted
FIR202500036,FIR/0036/2025,PS0072,Bengaluru Rural,2025-01-05 15:17,2025-01-08 01:17,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.283757,77.642825,P003798,P000405,P003016,SI Mahesh Bhat,Closed
FIR202500057,FIR/0057/2025,PS0072,Bengaluru Rural,2025-01-08 05:14,2025-01-08 08:14,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),13.28485,77.638358,P004870,P002718,P006140,PI Suresh Kulkarni,Closed
FIR202500059,FIR/0059/2025,PS0062,Belagavi,2025-01-08 08:34,2025-01-08 11:34,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),15.76142,74.489606,P009510,P007136,P000084,SI Ravi Kumar,Chargesheeted
FIR202500051,FIR/0051/2025,PS0161,Bidar,2025-01-07 09:09,2025-01-08 16:09,Murder,Gang Conflict,BNS 103(1),17.987112,77.528964,P003101,P003179,P000418,PI Suresh Kulkarni,Under Investigation
FIR202500060,FIR/0060/2025,PS0131,Bengaluru Urban,2025-01-08 11:34,2025-01-08 16:34,Fraud,Corporate Fraud,BNS 318(4),12.982229,77.614975,P004061,P006384,P007422,SI Divya Hegde,Under Investigation
FIR202500054,FIR/0054/2025,PS0111,Bengaluru Urban,2025-01-07 15:11,2025-01-09 00:11,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),12.764514,77.571661,P002424,P004795,P008718,PI Lakshmi Devi,Chargesheeted
FIR202500055,FIR/0055/2025,PS0091,Bengaluru Rural,2025-01-07 23:38,2025-01-09 02:38,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",13.063875,77.619903,P006503,P007766,P007823,PI Naveen Patil,Closed
FIR202500063,FIR/0063/2025,PS0076,Bengaluru Rural,2025-01-08 20:47,2025-01-09 03:47,POCSO,Harassment,"POCSO Act Sec 4, BNS 64",13.311098,77.764128,P008305,P001882,P009355,PI Ramesh Gowda,Chargesheeted
FIR202500066,FIR/0066/2025,PS0088,Bengaluru Rural,2025-01-09 02:06,2025-01-09 10:06,Fraud,Corporate Fraud,BNS 318(4),13.039444,77.40762,P000766,P001244,P002576,PI Naveen Patil,Under Investigation
FIR202500053,FIR/0053/2025,PS0012,Bagalkote,2025-01-07 14:24,2025-01-09 15:24,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",16.290815,75.826891,P000361,P009910,P008586,SI Divya Hegde,Under Investigation
FIR202500058,FIR/0058/2025,PS0066,Belagavi,2025-01-08 07:33,2025-01-09 16:33,Theft,Snatching,BNS 303(2),15.932584,74.650282,P008629,P009495,P000416,SI Ganesh Rao,Chargesheeted
FIR202500061,FIR/0061/2025,PS0038,Ballari,2025-01-08 14:04,2025-01-09 17:04,Theft,Snatching,BNS 303(2),15.051098,77.07557,P002607,P008545,P001446,SI Ravi Kumar,Untraced
FIR202500062,FIR/0062/2025,PS0098,Bengaluru Rural,2025-01-08 15:53,2025-01-09 23:53,Theft,Pocket Pick,BNS 303(2),13.282682,77.730178,P001295,P007490,P007281,PI Lakshmi Devi,Under Investigation
FIR202500039,FIR/0039/2025,PS0082,Bengaluru Rural,2025-01-05 17:54,2025-01-09 23:54,Theft,Snatching,BNS 303(2),13.324844,77.429251,P005009,P001952,P006551,PI Harish Naik,Closed
FIR202500065,FIR/0065/2025,PS0151,Bengaluru Urban,2025-01-08 22:55,2025-01-09 23:55,NDPS,Drug Trafficking,NDPS Act Sec 20(b),12.853897,77.476175,P004380,P009021,P008479,PI Lakshmi Devi,Chargesheeted
FIR202500070,FIR/0070/2025,PS0206,Chamarajanagar,2025-01-09 14:38,2025-01-10 00:38,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",11.820221,77.101132,P002211,P000431,P003339,SI Prakash Sharma,Closed
FIR202500073,FIR/0073/2025,PS0108,Bengaluru Rural,2025-01-09 23:57,2025-01-10 07:57,POCSO,Sexual Assault on Minor,"POCSO Act Sec 4, BNS 64",13.197947,77.444846,P007663,P001128,P001582,PI Harish Naik,Chargesheeted
FIR202500076,FIR/0076/2025,PS0071,Bengaluru Rural,2025-01-10 09:21,2025-01-10 10:21,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),13.027424,77.479876,P009695,P003045,P005472,PI Suresh Kulkarni,Untraced
FIR202500056,FIR/0056/2025,PS0014,Bagalkote,2025-01-08 02:38,2025-01-10 13:38,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",16.322635,75.843836,P000958,P008222,P005116,PI Harish Naik,Closed
FIR202500074,FIR/0074/2025,PS0232,Chamarajanagar,2025-01-10 05:16,2025-01-10 15:16,Fraud,Land Scam,BNS 318(4),11.800261,76.871504,P004552,P006174,"P005224, P000638",SI Mahesh Bhat,Under Investigation
FIR202500071,FIR/0071/2025,PS0099,Bengaluru Rural,2025-01-09 15:40,2025-01-10 18:40,Dacoity,Armed Dacoity,BNS 310(2),13.278416,77.7035,P003914,P004252,P002383,PI Naveen Patil,Chargesheeted
FIR202500069,FIR/0069/2025,PS0086,Bengaluru Rural,2025-01-09 12:01,2025-01-10 19:01,Fraud,Cheating,BNS 318(4),13.328429,77.487325,P006833,P004113,P006090,PI Ramesh Gowda,Under Investigation
FIR202500079,FIR/0079/2025,PS0020,Bagalkote,2025-01-10 16:30,2025-01-10 20:30,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),16.262079,75.593343,P006459,P004205,P009146,SI Ganesh Rao,Under Investigation
FIR202500083,FIR/0083/2025,PS0140,Bengaluru Urban,2025-01-10 20:42,2025-01-10 21:42,Fraud,Corporate Fraud,BNS 318(4),13.048444,77.661363,P004864,P005039,P007160,PI Suresh Kulkarni,Chargesheeted
FIR202500064,FIR/0064/2025,PS0232,Chamarajanagar,2025-01-08 22:08,2025-01-11 00:08,Theft,Pocket Pick,BNS 303(2),11.763103,76.882964,P004356,P000536,P005332,PI Naveen Patil,Chargesheeted
FIR202500082,FIR/0082/2025,PS0059,Belagavi,2025-01-10 18:37,2025-01-11 01:37,Theft,Pocket Pick,BNS 303(2),15.820594,74.528891,P008575,P008359,P002389,SI Mahesh Bhat,Under Investigation
FIR202500084,FIR/0084/2025,PS0092,Bengaluru Rural,2025-01-11 00:13,2025-01-11 04:13,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",13.063925,77.464445,P000084,P007841,P009490,PI Suresh Kulkarni,Chargesheeted
FIR202500085,FIR/0085/2025,PS0041,Ballari,2025-01-11 03:16,2025-01-11 07:16,Assault,Simple Assault,"BNS 115(2), BNS 117(2)",15.267718,76.896861,P006812,P008696,P000779,PI Harish Naik,Under Investigation
FIR202500072,FIR/0072/2025,PS0130,Bengaluru Urban,2025-01-09 22:50,2025-01-11 07:50,Dacoity,Bank Dacoity,BNS 310(2),13.119328,77.466056,P005365,P004348,P004664,SI Divya Hegde,Chargesheeted
FIR202500047,FIR/0047/2025,PS0131,Bengaluru Urban,2025-01-07 04:51,2025-01-11 10:51,Fraud,Corporate Fraud,BNS 318(4),13.016787,77.607923,P007799,P006214,P003782,PI Harish Naik,Under Investigation
FIR202500090,FIR/0090/2025,PS0148,Bengaluru Urban,2025-01-11 13:25,2025-01-11 17:25,Murder,Dowry Homicide,BNS 103(1),12.863074,77.653371,P007039,P009836,P008038,SI Ravi Kumar,Under Investigation
FIR202500088,FIR/0088/2025,PS0111,Bengaluru Urban,2025-01-11 10:49,2025-01-11 17:49,Cyber Crime,Phishing,"IT Act 66D, BNS 318(4)",12.771724,77.544236,P005497,P003685,P006892,PI Harish Naik,Chargesheeted
FIR202500092,FIR/0092/2025,PS0189,Bidar,2025-01-11 17:10,2025-01-11 21:10,Assault,Grievous Hurt,"BNS 115(2), BNS 117(2)",17.895769,77.388684,P000083,P007966,P006459,SI Ganesh Rao,Under Investigation
FIR202500091,FIR/0091/2025,PS0232,Chamarajanagar,2025-01-11 14:24,2025-01-11 22:24,Cyber Crime,Identity Theft,"IT Act 66D, BNS 318(4)",11.796461,76.871453,P001516,P007679,P005512,SI Divya Hegde,Under Investigation
FIR202500089,FIR/0089/2025,PS0006,Bagalkote,2025-01-11 12:10,2025-01-11 23:10,Assault,Grievous Hurt,"BNS 115(2), BNS 117(2)",16.372391,75.759101,P008953,P000015,P003985,PI Harish Naik,Chargesheeted
FIR202500093,FIR/0093/2025,PS0074,Bengaluru Rural,2025-01-11 17:47,2025-01-12 01:47,Murder,Gang Conflict,BNS 103(1),13.182484,77.577337,P004709,P009032,P004353,PI Chetan Kumar,Under Investigation
FIR202500078,FIR/0078/2025,PS0105,Bengaluru Rural,2025-01-10 16:05,2025-01-12 02:05,Theft,Snatching,BNS 303(2),13.149989,77.628467,P003779,P001065,P009511,PI Suresh Kulkarni,Under Investigation
FIR202500094,FIR/0094/2025,PS0075,Bengaluru Rural,2025-01-11 19:09,2025-01-12 02:09,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.191532,77.536125,P009738,P006831,P008553,SI Mahesh Bhat,Closed
FIR202500067,FIR/0067/2025,PS0091,Bengaluru Rural,2025-01-09 03:15,2025-01-12 04:15,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.043813,77.619557,P003243,P004954,P002154,PI Ramesh Gowda,Under Investigation
FIR202500095,FIR/0095/2025,PS0091,Bengaluru Rural,2025-01-12 00:56,2025-01-12 04:56,Assault,Public Affray,"BNS 115(2), BNS 117(2)",13.038485,77.619425,P001226,P004414,P005737,PI Harish Naik,Under Investigation
FIR202500098,FIR/0098/2025,PS0188,Bidar,2025-01-12 07:02,2025-01-12 14:02,Assault,Grievous Hurt,"BNS 115(2), BNS 117(2)",17.94219,77.710523,P001180,P003975,"P003114, P000226",SI Ganesh Rao,Under Investigation
FIR202500068,FIR/0068/2025,PS0140,Bengaluru Urban,2025-01-09 05:36,2025-01-12 14:36,Dacoity,Bank Dacoity,BNS 310(2),13.030847,77.675491,P003181,P002126,P008522,SI Mahesh Bhat,Chargesheeted
FIR202500096,FIR/0096/2025,PS0041,Ballari,2025-01-12 05:16,2025-01-12 16:16,Assault,Grievous Hurt,"BNS 115(2), BNS 117(2)",15.238157,76.877902,P009765,P004022,P009305,PI Lakshmi Devi,Under Investigation
FIR202500104,FIR/0104/2025,PS0165,Bidar,2025-01-13 06:17,2025-01-13 07:17,Theft,Snatching,BNS 303(2),18.053485,77.466131,P006490,P005116,P000010,PI Suresh Kulkarni,Under Investigation
FIR202500075,FIR/0075/2025,PS0001,Bagalkote,2025-01-10 08:23,2025-01-13 10:23,Vehicle Theft,Car Theft,BNS 303(2),16.179201,75.583478,P006708,P009604,P009094,SI Divya Hegde,Closed
FIR202500102,FIR/0102/2025,PS0116,Bengaluru Urban,2025-01-12 22:30,2025-01-13 10:30,Vehicle Theft,Car Theft,BNS 303(2),13.002623,77.530781,P006290,P005826,P008419,SI Prakash Sharma,Chargesheeted
FIR202500103,FIR/0103/2025,PS0178,Bidar,2025-01-13 04:22,2025-01-13 11:22,Dacoity,Bank Dacoity,BNS 310(2),17.896349,77.46193,P005032,P008644,P008141,SI Mahesh Bhat,Chargesheeted
FIR202500097,FIR/0097/2025,PS0086,Bengaluru Rural,2025-01-12 05:28,2025-01-13 15:28,Robbery,Chain Snatching with Force,BNS 309(4),13.32835,77.485022,P004138,P004257,P007607,PI Suresh Kulkarni,Under Investigation
FIR202500099,FIR/0099/2025,PS0122,Bengaluru Urban,2025-01-12 07:30,2025-01-13 18:30,Fraud,Land Scam,BNS 318(4),13.108867,77.552073,P000112,P008775,P007281,PI Ramesh Gowda,Chargesheeted
FIR202500100,FIR/0100/2025,PS0070,Bengaluru Rural,2025-01-12 11:38,2025-01-13 18:38,Theft,House Theft,BNS 303(2),13.273337,77.741857,P005459,P000589,P005870,PI Lakshmi Devi,Under Investigation
FIR202500108,FIR/0108/2025,PS0150,Bengaluru Urban,2025-01-13 18:58,2025-01-13 22:58,Fraud,Land Scam,BNS 318(4),13.072401,77.710906,P003410,P008645,P006720,SI Mahesh Bhat,Chargesheeted
FIR202500106,FIR/0106/2025,PS0142,Bengaluru Urban,2025-01-13 17:28,2025-01-13 23:28,Murder,Dowry Homicide,BNS 103(1),13.109669,77.762324,P005735,P001299,P006197,SI Ravi Kumar,Untraced
FIR202500107,FIR/0107/2025,PS0144,Bengaluru Urban,2025-01-13 18:43,2025-01-14 04:43,Fraud,Corporate Fraud,BNS 318(4),12.818657,77.572023,P003822,P001688,P001941,PI Lakshmi Devi,Chargesheeted
FIR202500080,FIR/0080/2025,PS0078,Bengaluru Rural,2025-01-10 17:57,2025-01-14 04:57,Fraud,Land Scam,BNS 318(4),13.125204,77.570501,P001389,P002865,P002217,PI Harish Naik,Chargesheeted
FIR202500086,FIR/0086/2025,PS0110,Bengaluru Urban,2025-01-11 03:26,2025-01-14 13:26,Fraud,Land Scam,BNS 318(4),13.155893,77.635645,P003720,P002707,P003492,PI Harish Naik,Under Investigation
FIR202500087,FIR/0087/2025,PS0222,Chamarajanagar,2025-01-11 07:28,2025-01-14 13:28,POCSO,Harassment,"POCSO Act Sec 4, BNS 64",11.919083,76.777973,P006592,P009784,P002794,PI Ramesh Gowda,Chargesheeted
FIR202500112,FIR/0112/2025,PS0209,Chamarajanagar,2025-01-14 13:25,2025-01-14 15:25,Robbery,Chain Snatching with Force,BNS 309(4),12.070069,77.01687,P000307,P001922,P005419,SI Ganesh Rao,Under Investigation
FIR202500113,FIR/0113/2025,PS0151,Bengaluru Urban,2025-01-14 14:18,2025-01-14 19:18,POCSO,Sexual Assault on Minor,"POCSO Act Sec 4, BNS 64",12.874231,77.462446,P008394,P000052,P007708,SI Ganesh Rao,Chargesheeted
FIR202500111,FIR/0111/2025,PS0120,Bengaluru Urban,2025-01-14 11:43,2025-01-14 21:43,Cyber Crime,Identity Theft,"IT Act 66D, BNS 318(4)",13.140316,77.389502,P009826,P002623,P003757,PI Suresh Kulkarni,Chargesheeted
FIR202500077,FIR/0077/2025,PS0112,Bengaluru Urban,2025-01-10 10:10,2025-01-14 22:10,Fraud,Corporate Fraud,BNS 318(4),13.110042,77.601288,P005503,P000661,P002930,PI Lakshmi Devi,Under Investigation
FIR202500115,FIR/0115/2025,PS0141,Bengaluru Urban,2025-01-14 17:34,2025-01-14 23:34,Cyber Crime,Identity Theft,"IT Act 66D, BNS 318(4)",12.867731,77.39694,P006362,P009358,P002667,PI Ramesh Gowda,Chargesheeted
FIR202500081,FIR/0081/2025,PS0152,Bengaluru Urban,2025-01-10 18:17,2025-01-15 00:17,Fraud,Land Scam,BNS 318(4),13.016786,77.414952,P000998,P005023,P007849,SI Divya Hegde,Chargesheeted
FIR202500117,FIR/0117/2025,PS0005,Bagalkote,2025-01-14 19:53,2025-01-15 01:53,Murder,Personal Enmity,BNS 103(1),16.164008,75.575911,P009060,P007240,P008444,PI Harish Naik,Chargesheeted
FIR202500116,FIR/0116/2025,PS0127,Bengaluru Urban,2025-01-14 19:09,2025-01-15 04:09,Robbery,Highway Robbery,BNS 309(4),13.118923,77.645907,P004949,P006778,P003890,PI Naveen Patil,Under Investigation
FIR202500110,FIR/0110/2025,PS0111,Bengaluru Urban,2025-01-14 03:58,2025-01-15 04:58,Cyber Crime,Identity Theft,"IT Act 66D, BNS 318(4)",12.762313,77.553314,P004916,P009358,P007220,PI Naveen Patil,Under Investigation
FIR202500118,FIR/0118/2025,PS0128,Bengaluru Urban,2025-01-15 03:54,2025-01-15 07:54,Fraud,Corporate Fraud,BNS 318(4),13.045592,77.585863,P004241,P009521,P000621,PI Chetan Kumar,Under Investigation
FIR202500120,FIR/0120/2025,PS0029,Ballari,2025-01-15 07:27,2025-01-15 09:27,Assault,Public Affray,"BNS 115(2), BNS 117(2)",14.970078,76.893712,P004343,P004804,P008968,PI Ramesh Gowda,Untraced
FIR202500109,FIR/0109/2025,PS0097,Bengaluru Rural,2025-01-14 00:10,2025-01-15 11:10,NDPS,Drug Trafficking,NDPS Act Sec 20(b),13.100171,77.499863,P008905,P003661,P005252,PI Naveen Patil,Chargesheeted
