ChargeSheet_ID,FIR_ID,Accused_ID,Crime_Type,Sections,Investigating_Officer,Court,Witness_Count,Evidence_Count,ChargeSheet_Date,Status
CS202500137,FIR202504894,P008886,Fraud,BNS 318(4),PI Harish Naik,Bagalkote District & Sessions Court,18,3,2025-04-02,Returned for Correction
CS202500302,FIR202503099,P005976,Theft,BNS 303(2),SI Prakash Sharma,Bidar District & Sessions Court,16,17,2025-04-02,Pending Scrutiny
CS202500230,FIR202502777,P004049,POCSO,"POCSO Act Sec 4, BNS 64",PI Chetan Kumar,Bidar District & Sessions Court,16,10,2025-04-03,Accepted
CS202500010,FIR202500747,P009291,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bidar District & Sessions Court,15,13,2025-04-03,Pending Scrutiny
CS202500074,FIR202502871,P002577,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,6,19,2025-04-03,Filed
CS202500086,FIR202503001,P002219,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Bidar District & Sessions Court,11,12,2025-04-04,Pending Scrutiny
CS202500008,FIR202502900,P003619,Robbery,BNS 309(4),SI Prakash Sharma,Belagavi District & Sessions Court,12,20,2025-04-04,Pending Scrutiny
CS202500266,FIR202504764,P003964,Fraud,BNS 318(4),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,12,15,2025-04-04,Pending Scrutiny
CS202500261,FIR202500772,P003156,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Chamarajanagar District & Sessions Court,5,4,2025-04-04,Filed
CS202500106,FIR202502766,P004457,Dacoity,BNS 310(2),PI Suresh Kulkarni,Bidar District & Sessions Court,18,17,2025-04-04,Filed
CS202500022,FIR202503420,P007039,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Harish Naik,Bengaluru Urban District & Sessions Court,14,30,2025-04-04,Pending Scrutiny
CS202500027,FIR202503264,P002638,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Ballari District & Sessions Court,6,13,2025-04-05,Returned for Correction
CS202500122,FIR202501485,P001615,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,11,28,2025-04-05,Filed
CS202500068,FIR202503534,P009376,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Ballari District & Sessions Court,10,15,2025-04-05,Filed
CS202500105,FIR202504320,P009951,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Bagalkote District & Sessions Court,8,10,2025-04-06,Filed
CS202500221,FIR202503296,P000666,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Chikkaballapura District & Sessions Court,7,3,2025-04-06,Filed
CS202500171,FIR202500780,P007094,Burglary,"BNS 331(3), BNS 331(4)",PI Lakshmi Devi,Belagavi District & Sessions Court,16,13,2025-04-06,Accepted
CS202500251,FIR202503832,P000686,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Belagavi District & Sessions Court,5,15,2025-04-07,Pending Scrutiny
CS202500187,FIR202500170,P001849,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Chikkaballapura District & Sessions Court,14,26,2025-04-07,Pending Scrutiny
CS202500244,FIR202504277,P007309,Dacoity,BNS 310(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,5,10,2025-04-07,Accepted
CS202500173,FIR202500691,P007017,Fraud,BNS 318(4),PI Harish Naik,Bengaluru Urban District & Sessions Court,12,19,2025-04-07,Accepted
CS202500101,FIR202504883,P005801,Dacoity,BNS 310(2),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,11,17,2025-04-07,Pending Scrutiny
CS202500174,FIR202504212,P002286,NDPS,NDPS Act Sec 20(b),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,12,29,2025-04-07,Returned for Correction
CS202500227,FIR202502999,P009340,POCSO,"POCSO Act Sec 4, BNS 64",SI Divya Hegde,Chamarajanagar District & Sessions Court,17,24,2025-04-07,Filed
CS202500223,FIR202501454,P004999,Murder,BNS 103(1),PI Lakshmi Devi,Bidar District & Sessions Court,18,7,2025-04-08,Accepted
CS202500093,FIR202502569,P001610,Fraud,BNS 318(4),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,9,13,2025-04-08,Filed
CS202500114,FIR202501144,P006568,Fraud,BNS 318(4),SI Prakash Sharma,Bagalkote District & Sessions Court,3,27,2025-04-08,Accepted
CS202500103,FIR202503376,P006211,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Chamarajanagar District & Sessions Court,5,26,2025-04-09,Filed
CS202500145,FIR202502362,P006485,NDPS,NDPS Act Sec 20(b),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,6,4,2025-04-09,Accepted
CS202500135,FIR202500585,P005932,NDPS,NDPS Act Sec 20(b),SI Ganesh Rao,Ballari District & Sessions Court,2,23,2025-04-09,Pending Scrutiny
CS202500182,FIR202501539,P001671,Vehicle Theft,BNS 303(2),PI Harish Naik,Bengaluru Rural District & Sessions Court,11,7,2025-04-09,Pending Scrutiny
CS202500112,FIR202501897,P007236,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,14,9,2025-04-09,Pending Scrutiny
CS202500131,FIR202501562,P007882,Dacoity,BNS 310(2),SI Ravi Kumar,Bidar District & Sessions Court,10,16,2025-04-10,Accepted
CS202500303,FIR202501571,P008316,Fraud,BNS 318(4),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,3,29,2025-04-10,Accepted
CS202500109,FIR202504197,P008333,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Bidar District & Sessions Court,14,8,2025-04-11,Returned for Correction
CS202500226,FIR202500374,P008248,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bengaluru Urban District & Sessions Court,18,15,2025-04-11,Returned for Correction
CS202500202,FIR202501559,P000663,Murder,BNS 103(1),SI Prakash Sharma,Bidar District & Sessions Court,2,4,2025-04-12,Pending Scrutiny
CS202500246,FIR202501932,P002905,Robbery,BNS 309(4),SI Ravi Kumar,Chamarajanagar District & Sessions Court,10,28,2025-04-12,Returned for Correction
CS202500147,FIR202503605,P009891,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Chamarajanagar District & Sessions Court,15,19,2025-04-12,Pending Scrutiny
CS202500234,FIR202503248,P009434,Theft,BNS 303(2),PI Harish Naik,Bagalkote District & Sessions Court,2,14,2025-04-12,Accepted
CS202500308,FIR202503776,P009324,Fraud,BNS 318(4),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,10,12,2025-04-12,Accepted
CS202500256,FIR202504997,P002074,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,10,25,2025-04-12,Accepted
CS202500152,FIR202502002,P005906,Dacoity,BNS 310(2),PI Lakshmi Devi,Bidar District & Sessions Court,7,21,2025-04-12,Accepted
CS202500301,FIR202501987,P005659,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Ballari District & Sessions Court,9,4,2025-04-12,Returned for Correction
CS202500108,FIR202502822,P008224,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Chamarajanagar District & Sessions Court,15,21,2025-04-12,Accepted
CS202500214,FIR202502677,P008993,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Bagalkote District & Sessions Court,6,23,2025-04-12,Accepted
CS202500282,FIR202504280,P003498,Robbery,BNS 309(4),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,18,3,2025-04-13,Returned for Correction
CS202500369,FIR202500983,P002716,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Urban District & Sessions Court,17,29,2025-04-13,Pending Scrutiny
CS202500287,FIR202504079,P009010,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bengaluru Rural District & Sessions Court,14,17,2025-04-13,Pending Scrutiny
CS202500207,FIR202502729,P006327,Fraud,BNS 318(4),PI Harish Naik,Chamarajanagar District & Sessions Court,11,28,2025-04-13,Returned for Correction
CS202500020,FIR202503890,P001467,Vehicle Theft,BNS 303(2),SI Divya Hegde,Bengaluru Urban District & Sessions Court,5,30,2025-04-13,Accepted
CS202500204,FIR202504389,P003611,Dacoity,BNS 310(2),PI Ramesh Gowda,Bidar District & Sessions Court,18,12,2025-04-13,Pending Scrutiny
