Risk_Rank,Station_ID,Station_Name,District,Zone,Station_Type,FIR_Count,Severity_Load,Hotspot_Count,Personnel_Strength,Patrol_Vehicles,Risk_Score,Risk_Tier,z_Severity,z_FIR,z_Hotspot,z_Personnel_Deficit
68,PS0158,Bidar West Rural Police Station,Bidar,West,Rural Police Station,20,55.0,0,145,6,55.31,High,0.5,0.6826061944859854,0.0,0.7409975245385867
69,PS0184,Bidar South Town Police Station,Bidar,South,Town Police Station,18,52.0,1,149,24,55.08,High,0.46153846153846156,0.6204208453129829,0.3333333333333333,0.7320678097390333
70,PS0197,Chamarajanagar South Traffic Police Station,Chamarajanagar,South,Traffic Police Station,21,61.5,1,84,10,55.01,High,0.5833333333333334,0.7115107053562038,0.3333333333333333,0.7123144235116707
71,PS0097,Bengaluru Rural North Town Police Station,Bengaluru Rural,North,Town Police Station,18,42.5,3,85,16,54.87,High,0.33974358974358976,0.6204208453129829,1.0,0.5534032266331103
72,PS0181,Bidar West Women Police Station,Bidar,West,Women Police Station,19,51.0,0,78,5,54.83,High,0.44871794871794873,0.6522911610246186,0.0,0.8905702474311058
73,PS0143,Bengaluru Urban North Traffic Police Station,Bengaluru Urban,North,Traffic Police Station,27,53.0,1,161,6,54.82,High,0.47435897435897434,0.8613531161467861,0.3333333333333333,0.5714062006990649
74,PS0045,Ballari East Rural Police Station,Ballari,East,Rural Police Station,24,63.5,1,132,24,54.71,High,0.6089743589743589,0.7909380448778324,0.3333333333333333,0.6574495525877901
75,PS0117,Bengaluru Urban West Women Police Station,Bengaluru Urban,West,Women Police Station,26,55.0,1,96,21,54.58,High,0.5,0.8387566283357885,0.3333333333333333,0.7705619556432671
76,PS0172,Bidar West Cyber Crime Police Station,Bidar,West,Cyber Crime Police Station,21,55.0,0,90,19,54.51,High,0.5,0.7115107053562038,0.0,0.8637811030324457
77,PS0162,Bidar West Police Station,Bidar,West,Police Station,19,40.0,1,68,20,54.1,High,0.3076923076923077,0.6522911610246186,0.3333333333333333,0.9128945344299894
78,PS0031,Ballari Central Police Station,Ballari,Central,Police Station,23,56.0,1,73,20,53.71,High,0.5128205128205128,0.7655739135839971,0.3333333333333333,0.8394780213199249
79,PS0205,Chamarajanagar West Women Police Station,Chamarajanagar,West,Women Police Station,25,58.0,1,167,6,53.27,High,0.5384615384615384,0.8153072441183079,0.3333333333333333,0.36412422364988206
80,PS0226,Chamarajanagar East Police Station,Chamarajanagar,East,Police Station,28,70.0,0,113,17,53.23,High,0.6923076923076923,0.8831565790453322,0.0,0.5906576066924916
81,PS0055,Belagavi West Rural Police Station,Belagavi,West,Rural Police Station,18,45.5,2,156,17,52.57,High,0.3782051282051282,0.6204208453129829,0.6666666666666666,0.7763239426082854
82,PS0003,Bagalkote North Traffic Police Station,Bagalkote,North,Traffic Police Station,22,59.0,0,56,18,52.1,High,0.5512820512820513,0.739130138344212,0.0,0.9636104720472
83,PS0058,Belagavi Central Police Station,Belagavi,Central,Police Station,23,51.5,1,74,25,51.97,High,0.4551282051282051,0.7655739135839971,0.3333333333333333,0.9279060641464721
84,PS0061,Belagavi West Police Station,Belagavi,West,Police Station,25,64.0,0,134,16,51.92,High,0.6153846153846154,0.8153072441183079,0.0,0.8169923166795063
85,PS0176,Bidar West Traffic Police Station,Bidar,West,Traffic Police Station,19,52.5,0,93,19,51.91,High,0.46794871794871795,0.6522911610246186,0.0,0.8570838169327807
86,PS0084,Bengaluru Rural Central Women Police Station,Bengaluru Rural,Central,Women Police Station,21,47.5,2,113,11,51.81,High,0.40384615384615385,0.7115107053562038,0.6666666666666666,0.3849761576578158
87,PS0234,Chamarajanagar East Women Police Station,Chamarajanagar,East,Women Police Station,24,58.0,1,108,25,51.78,High,0.5384615384615384,0.7909380448778324,0.3333333333333333,0.6116329199371777
88,PS0196,Chamarajanagar North Town Police Station,Chamarajanagar,North,Town Police Station,28,56.0,0,39,14,51.42,High,0.5128205128205128,0.8831565790453322,0.0,0.9010922427138455
89,PS0007,Bagalkote North Traffic Police Station,Bagalkote,North,Traffic Police Station,23,57.0,0,176,10,51.34,High,0.5256410256410257,0.7655739135839971,0.0,0.7469907278146355
90,PS0225,Chamarajanagar East Police Station,Chamarajanagar,East,Police Station,26,65.0,0,81,20,51.06,High,0.6282051282051282,0.8387566283357885,0.0,0.7248996114584825
91,PS0156,Bidar North Cyber Crime Police Station,Bidar,North,Cyber Crime Police Station,14,39.0,1,55,13,51.03,High,0.2948717948717949,0.4735442393638178,0.3333333333333333,0.9419161075285378
92,PS0018,Bagalkote Central Town Police Station,Bagalkote,Central,Town Police Station,21,50.0,0,49,4,50.92,High,0.4358974358974359,0.7115107053562038,0.0,0.9762466237940995
93,PS0211,Chamarajanagar North Police Station,Chamarajanagar,North,Police Station,24,61.5,1,175,22,50.86,High,0.5833333333333334,0.7909380448778324,0.3333333333333333,0.3305637224583844
94,PS0030,Ballari East Traffic Police Station,Ballari,East,Traffic Police Station,25,68.0,0,148,20,50.63,High,0.6666666666666666,0.8153072441183079,0.0,0.608085900050262
95,PS0034,Ballari Central Town Police Station,Ballari,Central,Town Police Station,20,47.0,1,76,8,50.55,High,0.3974358974358974,0.6826061944859854,0.3333333333333333,0.8302223364691383
96,PS0051,Belagavi West Cyber Crime Police Station,Belagavi,West,Cyber Crime Police Station,24,62.5,0,133,18,50.4,High,0.5961538461538461,0.7909380448778324,0.0,0.818840879137289
97,PS0068,Belagavi North Police Station,Belagavi,North,Police Station,22,63.5,0,40,22,50.4,High,0.6089743589743589,0.739130138344212,0.0,0.9907571877110862
98,PS0154,Bidar Central Police Station,Bidar,Central,Police Station,15,42.0,1,46,24,50.32,High,0.3333333333333333,0.5136442771714047,0.3333333333333333,0.9620079658275329
99,PS0167,Bidar Central Town Police Station,Bidar,Central,Town Police Station,14,37.0,1,81,11,50.28,High,0.2692307692307692,0.4735442393638178,0.3333333333333333,0.8838729613314408
100,PS0228,Chamarajanagar East Town Police Station,Chamarajanagar,East,Town Police Station,24,64.5,0,54,24,50.06,High,0.6217948717948718,0.7909380448778324,0.0,0.8381663029797872
101,PS0119,Bengaluru Urban West Police Station,Bengaluru Urban,West,Police Station,26,55.5,0,119,6,49.92,Medium,0.5064102564102564,0.8387566283357885,0.0,0.7000914577399341
102,PS0126,Bengaluru Urban West Traffic Police Station,Bengaluru Urban,West,Traffic Police Station,24,55.0,0,81,8,49.49,Medium,0.5,0.7909380448778324,0.0,0.8165209760150062
103,PS0063,Belagavi South Cyber Crime Police Station,Belagavi,South,Cyber Crime Police Station,24,53.5,0,171,3,48.95,Medium,0.4807692307692308,0.7909380448778324,0.0,0.748595505741544
104,PS0046,Belagavi Central Rural Police Station,Belagavi,Central,Rural Police Station,21,56.0,0,35,12,48.91,Medium,0.5128205128205128,0.7115107053562038,0.0,1.0
105,PS0024,Bagalkote Central Rural Police Station,Bagalkote,Central,Rural Police Station,21,54.0,0,89,19,48.66,Medium,0.48717948717948717,0.7115107053562038,0.0,0.9040400423832448
106,PS0039,Ballari West Town Police Station,Ballari,West,Town Police Station,18,59.0,0,42,6,48.59,Medium,0.5512820512820513,0.6204208453129829,0.0,0.9351200981113855
107,PS0206,Chamarajanagar North Traffic Police Station,Chamarajanagar,North,Traffic Police Station,23,60.5,0,72,16,48.58,Medium,0.5705128205128205,0.7655739135839971,0.0,0.7626551752989174
108,PS0115,Bengaluru Urban East Rural Police Station,Bengaluru Urban,East,Rural Police Station,17,40.5,2,111,21,48.42,Medium,0.3141025641025641,0.5868269919231961,0.6666666666666666,0.7246029352715282
109,PS0216,Chamarajanagar Central Women Police Station,Chamarajanagar,Central,Women Police Station,28,63.5,0,164,19,48.28,Medium,0.6089743589743589,0.8831565790453322,0.0,0.3767094115966938
110,PS0001,Bagalkote East Town Police Station,Bagalkote,East,Town Police Station,21,49.0,0,130,8,48.26,Medium,0.4230769230769231,0.7115107053562038,0.0,0.8300282964371185
111,PS0043,Ballari East Cyber Crime Police Station,Ballari,East,Cyber Crime Police Station,24,62.0,0,119,22,48.23,Medium,0.5897435897435898,0.7909380448778324,0.0,0.6975575202745317
112,PS0230,Chamarajanagar North Traffic Police Station,Chamarajanagar,North,Traffic Police Station,24,62.5,0,128,14,47.99,Medium,0.5961538461538461,0.7909380448778324,0.0,0.5277316669584334
113,PS0022,Bagalkote East Traffic Police Station,Bagalkote,East,Traffic Police Station,21,50.5,0,102,15,47.9,Medium,0.4423076923076923,0.7115107053562038,0.0,0.880572903424717
114,PS0208,Chamarajanagar Central Women Police Station,Chamarajanagar,Central,Women Police Station,22,63.0,0,130,10,47.63,Medium,0.6025641025641025,0.739130138344212,0.0,0.519341541660559
115,PS0065,Belagavi South Police Station,Belagavi,South,Police Station,22,57.0,0,151,13,47.62,Medium,0.5256410256410257,0.739130138344212,0.0,0.7855667548971993
116,PS0173,Bidar East Cyber Crime Police Station,Bidar,East,Cyber Crime Police Station,15,36.5,1,159,19,47.1,Medium,0.26282051282051283,0.5136442771714047,0.3333333333333333,0.7097435227401498
117,PS0212,Chamarajanagar West Police Station,Chamarajanagar,West,Police Station,18,40.0,1,66,4,46.77,Medium,0.3076923076923077,0.6204208453129829,0.3333333333333333,0.7878255511925407
118,PS0040,Ballari South Rural Police Station,Ballari,South,Rural Police Station,25,51.5,0,62,22,46.59,Medium,0.4551282051282051,0.8153072441183079,0.0,0.8734155324394755
119,PS0062,Belagavi West Traffic Police Station,Belagavi,West,Traffic Police Station,19,41.5,1,134,13,46.52,Medium,0.3269230769230769,0.6522911610246186,0.3333333333333333,0.8169923166795063
120,PS0016,Bagalkote South Cyber Crime Police Station,Bagalkote,South,Cyber Crime Police Station,20,49.0,0,151,12,46.36,Medium,0.4230769230769231,0.6826061944859854,0.0,0.7921198411964198
121,PS0067,Belagavi North Town Police Station,Belagavi,North,Town Police Station,21,52.5,0,124,10,46.33,Medium,0.46794871794871795,0.7115107053562038,0.0,0.8354779412573339
122,PS0148,Bengaluru Urban North Town Police Station,Bengaluru Urban,North,Town Police Station,21,46.0,0,40,4,46.32,Medium,0.38461538461538464,0.7115107053562038,0.0,0.9421422983644261
123,PS0207,Chamarajanagar South Cyber Crime Police Station,Chamarajanagar,South,Cyber Crime Police Station,22,57.5,0,141,4,46.23,Medium,0.532051282051282,0.739130138344212,0.0,0.4731958525222497
124,PS0028,Ballari East Rural Police Station,Ballari,East,Rural Police Station,24,53.5,0,102,19,46.03,Medium,0.4807692307692308,0.7909380448778324,0.0,0.7500064010956553
125,PS0200,Chamarajanagar South Traffic Police Station,Chamarajanagar,South,Traffic Police Station,22,56.5,0,77,17,45.98,Medium,0.5192307692307693,0.739130138344212,0.0,0.7416798620542313
126,PS0232,Chamarajanagar North Rural Police Station,Chamarajanagar,North,Rural Police Station,19,52.5,1,115,23,45.92,Medium,0.46794871794871795,0.6522911610246186,0.3333333333333333,0.5822674813946171
127,PS0134,Bengaluru Urban South Town Police Station,Bengaluru Urban,South,Town Police Station,20,51.0,0,45,12,45.75,Medium,0.44871794871794873,0.6826061944859854,0.0,0.9268226249071798
128,PS0185,Bidar East Traffic Police Station,Bidar,East,Traffic Police Station,16,39.0,0,112,11,45.64,Medium,0.2948717948717949,0.5513124726004205,0.0,0.8146676716349022
129,PS0144,Bengaluru Urban South Rural Police Station,Bengaluru Urban,South,Rural Police Station,22,42.0,1,173,16,45.6,Medium,0.3333333333333333,0.739130138344212,0.3333333333333333,0.5346389844016737
130,PS0157,Bidar North Traffic Police Station,Bidar,North,Traffic Police Station,18,46.5,0,175,25,45.48,Medium,0.391025641025641,0.6204208453129829,0.0,0.6740246635419364
131,PS0041,Ballari East Town Police Station,Ballari,East,Town Police Station,21,55.5,0,165,6,45.47,Medium,0.5064102564102564,0.7115107053562038,0.0,0.5556370192291384
132,PS0002,Bagalkote North Rural Police Station,Bagalkote,North,Rural Police Station,18,49.0,0,127,12,45.28,Medium,0.4230769230769231,0.6204208453129829,0.0,0.8354437900429327
133,PS0087,Bengaluru Rural North Traffic Police Station,Bengaluru Rural,North,Traffic Police Station,19,46.5,1,112,3,45.22,Medium,0.391025641025641,0.6522911610246186,0.3333333333333333,0.3909914101212191
134,PS0223,Chamarajanagar North Town Police Station,Chamarajanagar,North,Town Police Station,18,49.0,1,129,16,44.74,Medium,0.4230769230769231,0.6204208453129829,0.3333333333333333,0.5235366043094962
135,PS0059,Belagavi North Cyber Crime Police Station,Belagavi,North,Cyber Crime Police Station,19,49.0,0,141,4,44.64,Medium,0.4230769230769231,0.6522911610246186,0.0,0.804052379475027
136,PS0122,Bengaluru Urban East Town Police Station,Bengaluru Urban,East,Town Police Station,20,42.0,1,116,23,44.41,Medium,0.3333333333333333,0.6826061944859854,0.3333333333333333,0.7092832618142819
137,PS0131,Bengaluru Urban South Cyber Crime Police Station,Bengaluru Urban,South,Cyber Crime Police Station,24,41.5,0,110,3,44.31,Medium,0.3269230769230769,0.7909380448778324,0.0,0.7276668699629775
138,PS0203,Chamarajanagar Central Cyber Crime Police Station,Chamarajanagar,Central,Cyber Crime Police Station,21,60.5,0,132,19,44.09,Medium,0.5705128205128205,0.7115107053562038,0.0,0.5109514163626846
139,PS0091,Bengaluru Rural West Cyber Crime Police Station,Bengaluru Rural,West,Cyber Crime Police Station,21,49.0,0,48,7,43.79,Medium,0.4230769230769231,0.7115107053562038,0.0,0.775967567779035
140,PS0017,Bagalkote Central Town Police Station,Bagalkote,Central,Town Police Station,17,44.0,0,110,9,43.58,Medium,0.358974358974359,0.5868269919231961,0.0,0.8661315871425459
141,PS0013,Bagalkote South Rural Police Station,Bagalkote,South,Rural Police Station,21,40.5,0,106,17,43.57,Medium,0.3141025641025641,0.7115107053562038,0.0,0.8733522452836314
142,PS0070,Bengaluru Rural East Traffic Police Station,Bengaluru Rural,East,Traffic Police Station,21,51.0,0,64,8,43.39,Medium,0.44871794871794873,0.7115107053562038,0.0,0.679723528364581
143,PS0222,Chamarajanagar West Rural Police Station,Chamarajanagar,West,Rural Police Station,18,37.0,1,83,12,43.0,Medium,0.2692307692307692,0.6204208453129829,0.3333333333333333,0.7165094861606081
144,PS0096,Bengaluru Rural Central Cyber Crime Police Station,Bengaluru Rural,Central,Cyber Crime Police Station,19,52.5,1,107,25,42.86,Medium,0.46794871794871795,0.6522911610246186,0.3333333333333333,0.42106767243823606
145,PS0078,Bengaluru Rural East Cyber Crime Police Station,Bengaluru Rural,East,Cyber Crime Police Station,19,49.0,1,132,13,42.72,Medium,0.4230769230769231,0.6522911610246186,0.3333333333333333,0.2706863608531517
146,PS0146,Bengaluru Urban East Traffic Police Station,Bengaluru Urban,East,Traffic Police Station,22,43.0,0,127,6,42.7,Medium,0.34615384615384615,0.739130138344212,0.0,0.67557998020834
147,PS0192,Bidar West Women Police Station,Bidar,West,Women Police Station,11,22.5,1,120,5,42.49,Medium,0.08333333333333333,0.33489735551060396,0.3333333333333333,0.7968082420357954
148,PS0147,Bengaluru Urban Central Town Police Station,Bengaluru Urban,Central,Town Police Station,20,42.0,0,83,6,42.42,Medium,0.3333333333333333,0.6826061944859854,0.0,0.8103931066321076
149,PS0079,Bengaluru Rural West Women Police Station,Bengaluru Rural,West,Women Police Station,16,49.5,1,101,13,42.24,Medium,0.42948717948717946,0.5513124726004205,0.3333333333333333,0.4571591872186562
